Laptop,Status,Brand,Model,RAM,Storage,Storage type,Screen,Touch,Final Price,CPU_Brand,GPU_Brand,CPU_Type,GPU_Type,GPU_Category
MSI Katana 17 B13VFK-439PT Intel Core i7-13620H/16GB/1TB SSD/RTX 4060/17.3'' (PT),0,14,58,16,1000,0,17.3,0,1927.84,2,6,12,27,0
"ASUS F415EA-EK1464 Intel Core i3-1115G4/8GB/256GB SSD/14""",0,3,45,8,256,0,14.0,0,471.63,2,3,10,7,1
"ASUS VivoBook F515EA-BQ3013W Intel Core i5-1135G7/8GB/512GB/15.6""",0,3,113,8,512,0,15.6,0,527.0,2,3,11,7,1
"Dell Latitude 5430 Intel Core i5-1235U/8GB/256GB SSD/14""",0,5,60,8,256,0,14.0,0,1032.38,2,3,11,7,1
"Lenovo IdeaPad 5 14ALC05 AMD Ryzen 5 5500U/16GB/512 GB SSD/14""",0,13,56,16,512,0,14.0,0,749.0,0,3,7,7,1
"Lenovo V15 G2 ALC AMD Ryzen 5 5500U/8 GB/512GB SSD/15.6""",0,13,108,8,512,0,15.6,0,439.0,0,3,7,7,1
"Lenovo V15 G3 IAP Intel Core i7-1255U/16GB/512GB SSD/15.6""",0,13,108,16,512,0,15.6,0,930.24,2,3,12,7,1
"MSI Katana GF66 12UGS-665XES Intel Core i7-12700H/32GB/1TB SSD/RTX3070Ti/15.6""",1,14,58,32,1000,0,15.6,0,1899.0,2,6,12,24,0
"ASUS ExpertBook B1 B1500CEAE-EJ2824X Intel Core i5-1135G7/8GB/512GB SSD/15.6""",0,3,42,8,512,0,15.6,0,693.0,2,3,11,7,1
"ASUS TUF Dash F15 TUF517ZM-HN078 Intel Core i7-12650H/16GB/512GB SSD/RTX 3060/15.6""",0,3,98,16,512,0,15.6,0,1095.0,2,6,12,23,0
"ASUS VivoBook 13 Slate OLED T3300KA-LQ069W Intel Pentium Silver N6000/8 GB/128GB SSD/13.3"" Táctil",0,3,113,8,128,0,13.3,1,749.99,2,3,5,7,1
"Acer Aspire 5 A514-54G-59FU Intel Core i5-1135G7/8GB/512GB SSD/MX350/14""",0,0,19,8,512,0,14.0,0,769.58,2,3,11,7,1
"Acer Extensa 15 EX215-52-59MA Intel Core i5-1035G1/8GB/256GB SSD/15.6""",0,0,43,8,256,0,15.6,0,531.8,2,3,11,7,1
"Acer Extensa 15 EX215-54-51HW Intel Core i5-1135G7/8GB/256GB SSD/15.6""",0,0,43,8,256,0,15.6,0,529.9,2,3,11,7,1
"Lenovo IdeaPad 3 14ALC6 AMD Ryzen 5 5500U/8 GB/512GB SSD/14""",0,13,56,8,512,0,14.0,0,757.0,0,3,7,7,1
"Lenovo ThinkPad E14 G4 Intel Core i5-1235U/16GB/512GB SSD/14""",0,13,102,16,512,0,14.0,0,1069.0,2,3,11,7,1
"MSI Raider GE78HX 13VH-065ES Intel Core i9-13950HX/32GB/2TB SSD/RTX 4080/17""",0,14,88,32,2000,0,17.0,0,7150.47,2,6,13,29,0
"HP EliteBook x360 1030 G3 Intel Core i5-8250U/8GB/256GB SSD/13.3"" Táctil",1,9,38,8,256,0,13.3,1,620.0,2,3,11,7,1
"Lenovo LOQ 15IRH8-279 Intel Core i5-13500H/16GB/512GB SSD/RTX4060/15.6"" (PT)",0,13,59,16,512,0,15.6,0,1498.33,2,6,11,27,0
"Acer Chromebook 314 CB314-1H-C07W Intel Celeron N4020/8GB/64GB eMMC/14"" + Funda Protectora con Bolsillo Frontal",0,0,26,8,64,1,14.0,0,374.0,2,3,1,7,1
"ASUS TUF Gaming F15 FX506HE-HN012 Intel Core i5-11400H/16 GB/512GB SSD/RTX 3050Ti/15.6""",1,3,98,16,512,0,15.6,0,949.0,2,6,11,22,0
"Apple MacBook Intel Core M3/8GB/256GB/12"" Oro",1,2,67,8,256,0,12.0,0,553.58,2,3,4,7,1
"Dell Latitude 3330 Intel Core i5-1155G7/8 GB/256GB SSD/13.3""",0,5,60,8,256,0,13.3,0,912.0,2,3,11,7,1
"Dell Vostro 5620 Intel Core i5-1240P/16GB/512GB SSD/16""",0,5,115,16,512,0,16.0,0,961.6,2,3,11,7,1
"ASUS ZenBook 14 UM425UAZ-KI016W AMD Ryzen 7 5700U/16GB/512GB SSD/14""",1,3,120,16,512,0,14.0,0,849.0,0,3,8,7,1
"ASUS Zenbook 14 OLED UX3402ZA-KM023W Intel Evo Core i7-1260P/16GB/512GB SSD/14""",0,3,120,16,512,0,14.0,0,1299.0,2,3,12,7,1
"Asus VivoBook S14 S433EA-AM612T Intel Core i7-1165G7/16GB/512GB SSD/14""",1,3,113,16,512,0,14.0,0,799.0,2,3,12,7,1
"ASUS VivoBook 17 F1704VA-AU116W Intel Core i7-1355U/16GB/512GB SSD/17.3""",0,3,113,16,512,0,17.3,0,912.0,2,3,12,7,1
"HP Pavilion 15-EG1008NS Intel Core i7-1195G7/16GB/512GB SSD/15.6""",0,9,79,16,512,0,15.6,0,959.93,2,3,12,7,1
"HP Pavilion x360 14-ek0031ns Intel Core i7-1255U/16GB/512GB SSD/14"" Táctil",0,9,79,16,512,0,14.0,1,1267.58,2,3,12,7,1
"ASUS ZenBook 13 OLED UX325EA Intel Evo Core i7-1165G7/16GB/512GB SSD/13.3""",0,3,120,16,512,0,13.3,0,1016.0,2,3,12,7,1
"Dell Vostro 5320 Intel Evo Core i5-1240P/16GB/512GB SSD/13.3""",0,5,115,16,512,0,13.3,0,1020.24,2,3,11,7,1
"ASUS P1511CEA-BR1796X Intel Core i5-1135G7/8GB/512GB SSD/15.6""",1,3,20,8,512,0,15.6,0,699.0,2,3,11,7,1
"Acer Aspire 3 A315-58-79LA Intel Core i7-1165G7/16GB/512GB SSD/15.6""",1,0,19,16,512,0,15.6,0,586.54,2,3,12,7,1
"Acer Extensa 15 EX215-54-54AL Intel Core i5-1135G7/8GB/256GB SSD/15.6""",0,0,43,8,256,0,15.6,0,709.65,2,3,11,7,1
"Aspire 3 A315-56-35D3 Intel Core i3-1005G1 8GB/512GB SSD/15.6"" (PT)",1,0,19,8,512,0,15.6,0,340.24,2,3,10,7,1
"Asus ROG Zephyrus G14 GA401IU-HA123T AMD Ryzen 9 4900HS/16GB/1TB SSD/GTX 1660 Ti/14""",1,3,87,16,1000,0,14.0,0,1277.64,0,2,9,6,3
"Dynabook Toshiba Tecra A50-J-1BI Intel Core i5-1135G7/8GB/512GB SSD/15.6""",1,7,99,8,512,0,15.6,0,959.0,2,3,11,7,1
"MSI Creator Z17 A12UGST-040ES Intel Core i7-12700H/32GB/1TB SSD/RTX 3070 Ti/17"" Táctil",1,14,29,32,1000,0,17.0,1,3099.0,2,6,12,24,0
"MSI Pulse GL76 12UEK-245XES Intel Core i9-12900H/32GB/1TB SSD/RTX 3060/17.3""",1,14,86,32,1000,0,17.3,0,1999.0,2,6,13,23,0
"ASUS ROG Flow Z13 2022 GZ301ZE-LD183W Intel Core i9-12900H/16GB/1TB SSD/RTX 3050Ti/13.4"" Táctil",1,3,87,16,1000,0,13.4,1,1899.0,2,6,13,22,0
"ASUS ROG Strix G15 G513RM-HQ262 AMD Ryzen 7 6800H/16GB/1TB SSD/RTX 3060/15.6""",1,3,87,16,1000,0,15.6,0,1299.0,0,6,8,23,0
"ASUS TUF Gaming A15 2023 FA507NV-LP031W AMD Ryzen 7 7735HS/16GB/512GB SSD/RTX 4060/15.6"" + Gamepad para Xbox Series Negro",0,3,98,16,512,0,15.6,0,1409.0,0,6,8,27,0
"ASUS ZenBook 14 UM425QA-KI188 AMD Ryzen 5 5600H/16GB/512GB SSD/14""",1,3,120,16,512,0,14.0,0,608.64,0,3,7,7,1
"Acer Nitro 5 AN515-58-7365 Intel Core i7-12700H/16GB/512GB SSD/RTX 3050Ti/15.6""",1,0,73,16,512,0,15.6,0,1299.0,2,6,12,22,0
"Acer Predator Helios 300 PH317-55-74GD Intel Core i7-11800H/16GB/1TB SSD/RTX3060/17.3""",1,0,82,16,1000,0,17.3,0,1498.14,2,6,12,23,0
"Acer Predator Triton 500 SE PT516-51s-77EQ Intel Core i7-11800H/16GB/1TB SSD/RTX 3060/16""",1,0,82,16,1000,0,16.0,0,1106.09,2,6,12,23,0
"Apple MacBook Air Intel Core i5/8GB/256GB SSD/13.3"" Plata",1,2,65,8,256,0,13.3,0,765.33,2,3,11,7,1
"Apple MacBook Intel Core M3/8GB/256GB/12"" Gris Espacial",1,2,67,8,256,0,12.0,0,553.58,2,3,4,7,1
"Apple MacBook Intel Core i5/512GB/12"" Gris Espacial",1,2,67,8,512,0,12.0,0,684.65,2,3,11,7,1
"Apple MacBook Pro Apple M1 Pro/16GB/1TB SSD/14.2"" Plata",1,2,66,16,1000,0,14.2,0,2749.0,1,3,2,7,1
"Apple MacBook Pro Intel Core i5/8GB/256GB SSD/13"" Gris Espacial",1,2,66,8,256,0,13.0,0,815.75,2,3,11,7,1
"Apple MacBook Pro Intel Core i7 2.6GHz/16GB/256GB SSD/Radeon Pro 555X/15.4"" Gris Espacial",1,2,66,16,256,0,15.4,0,1118.25,2,3,12,7,1
"Apple Macbook Pro Intel Core i9/16GB/1TB SSD/Radeon Pro 5500M/16"" Plata",1,2,66,16,1000,0,16.0,0,1924.9,2,8,13,38,3
"Asus TUF Gaming F15 FX506HM-HN014 Intel Core i7-11800H/16GB/1TB SSD/RTX 3060/15.6""",1,3,98,16,1000,0,15.6,0,905.84,2,6,12,23,0
"Asus ZenBook Flip 13 OLED UX363EA-HP525T Intel Core i7-1165G7/16GB/512GB SSD/13.3"" Táctil",1,3,120,16,512,0,13.3,1,1299.0,2,3,12,7,1
"Asus ZenBook S UX393EA-HK003T Intel Evo Core i7-1165G7/16GB/512GB SSD/13.9"" Táctil",1,3,120,16,512,0,13.9,1,1599.0,2,3,12,7,1
"HP 250 G8 Intel Core i5-1135G7/8GB/512GB SSD/15.6"" Plata",1,9,7,8,512,0,15.6,0,566.58,2,3,11,7,1
"HP EliteBook 830 G7 Intel Core i5-10210U/16GB/512GB SSD/13.3""",1,9,38,16,512,0,13.3,0,1329.2,2,3,11,7,1
"HP OMEN 16-c0043ns AMD Ryzen 7 5800H/16GB/512GB SSD/RX 6600M/16.1""",1,9,76,16,512,0,16.1,0,634.34,0,8,8,33,3
"HP Omen 16-B0048NS Intel Core i7-11800H/16GB/1TB SSD/RTX 3060/16.1""",1,9,76,16,1000,0,16.1,0,1447.64,2,6,12,23,0
"HP ProBook 430 G7 8VT57EA Intel Core i7-10510U/16GB/512GB SSD/13.3""",1,9,85,16,512,0,13.3,0,1420.98,2,3,12,7,1
"HP ProBook 640 G3 Intel Core i5-7200U/4GB/500GB/14""",1,9,85,4,500,0,14.0,0,370.01,2,3,11,7,1
"HP Victus 16-E0006NP AMD Ryzen 7 5800H 8GB/512GB/RTX3050/16,1"" (PT)",1,9,112,8,512,0,16.1,0,829.19,0,6,8,22,0
"LG Gram 16Z90Q-G.AP7BB Intel Evo Core i7-1260P/32GB/2TB SSD/16""",1,12,55,32,2000,0,16.0,0,1882.19,2,3,12,7,1
"Lenovo ThinkPad E14 Gen 2 Intel Core i5-1135G7/8GB/256GB SSD/14""",1,13,102,8,256,0,14.0,0,1339.45,2,3,11,7,1
"MSI Creator Pro Z17 A12UMST-202ES Intel Core i7-12700H/32GB/1TB SSD/RTX A5500/17"" Táctil",1,14,29,32,1000,0,17.0,1,4499.0,2,6,12,16,0
MSI GP76 Leopard 10UG-055XPT Intel Core i7-10870H/16GB/1TB SSD/RTX 3070/17.3'' (PT),1,14,62,16,1000,0,17.3,0,1599.0,2,6,12,24,0
"MSI Modern 15 B12M-024XES Intel Core i7-1255U/16GB/512GB SSD/15.6""",1,14,68,16,512,0,15.6,0,807.78,2,3,12,7,1
"MSI Prestige 14 A11SCX-060ES Intel Core i7-1185G7/16GB/1TB SSD/GTX 1650/14""",1,14,83,16,1000,0,14.0,0,1649.0,2,2,12,5,2
"MSI Prestige 14 A12UC-230XES Intel Core i7-1280P/16GB/512GB SSD/RTX3050/14""",1,14,83,16,512,0,14.0,0,1399.0,2,6,12,22,0
"MSI Raider GE67HX 12UGS-023ES Intel Core i9-12900HX/32GB/1TB SSD/RTX 3070Ti/15.6""",1,14,88,32,1000,0,15.6,0,3299.0,2,6,13,24,0
MSI Stealth 15M B12UE-029XPT Intel Core i7-1260P/32GB/1TB SSD/RTX 3060/15.6'' (PT),1,14,92,32,1000,0,15.6,0,1322.09,2,6,12,23,0
"Razer Blade 15 Advanced Model 4K 144Hz Intel Core i9-12900H/32GB/1TB SSD/RTX 3080Ti/15.6""",1,21,22,32,1000,0,15.6,0,4399.99,2,6,13,25,0
"Razer Blade 15 Advanced Model FullHD 360Hz Intel Core i7-12800H/32GB/1TB SSD/RTX 3080Ti/15.6""",1,21,22,32,1000,0,15.6,0,4099.99,2,6,12,25,0
"Samsung Galaxy Book2 Pro 360 Intel Evo Core i7-1260P/16GB/512GB SSD/15.6"" Táctil",1,23,53,16,512,0,15.6,1,1699.0,2,3,12,7,1
"Samsung Galaxy Book3 Pro Intel Evo Core i7-1360P/16GB/512GB SSD/16"" + T7 SSD PCIe NVMe USB 3.2 500GB",0,23,53,16,512,0,16.0,0,2099.0,2,3,12,7,1
"ASUS F515EA-EJ3076W Intel Core i5-1135G7/16GB/512GB SSD/15.6""",0,3,46,16,512,0,15.6,0,720.92,2,3,11,7,1
"Lenovo V15 Gen 2 ITL Intel Core i5-1135G7/16GB/512GB SSD/15.6""",0,13,108,16,512,0,15.6,0,810.81,2,3,11,7,1
"Microsoft Surface Pro 7+ Intel Core i7-1165G7/32GB/1TB SSD/12.3"" Táctil Platino",0,16,96,32,1000,0,12.3,1,2014.58,2,3,12,7,1
"ASUS ExpertBook P1512CEA-EJ0086X Intel Core i5-1135G7/16GB/512GB SSD/15.6""",1,3,42,16,512,0,15.6,0,729.0,2,3,11,7,1
"ASUS F415EA-EK1005W Intel Core i5-1135G7/8GB/512GB SSD/14""",1,3,45,8,512,0,14.0,0,579.0,2,3,11,7,1
"ASUS ROG Zephyrus G14 2022 GA402RJ-L8099W AMD Ryzen 7 6800HS/16GB/1TB SSD/Radeon RX 6700S/14""",1,3,87,16,1000,0,14.0,0,2199.0,0,3,8,7,1
"ASUS ROG Zephyrus G15 GA503RM-HQ079W AMD Ryzen 7 6800HS/16GB/1TB SSD/RTX 3060/15.6""",1,3,87,16,1000,0,15.6,0,2199.0,0,6,8,23,0
"ASUS VivoBook 13 Slate OLED T3300KA-LQ031WS Intel Pentium Silver N6000/4GB/128GB/13.3"" Táctil",1,3,113,4,128,0,13.3,1,561.1,2,3,5,7,1
"ASUS Vivobook F1500EA-EJ2370W Intel Core i7-1165G7/16GB/512GB SSD/15.6""",1,3,113,16,512,0,15.6,0,899.0,2,3,12,7,1
Acer Aspire 5 A515-57 Intel Core i5-1235U/8GB/512GB SSD/15.6'' (PT),1,0,19,8,512,0,15.6,0,477.6,2,3,11,7,1
"Acer Chromebook 314 CB314-1H-C07W Intel Celeron N4020/8GB/64GB eMMC/14""",0,0,26,8,64,1,14.0,0,346.99,2,3,1,7,1
"Acer Chromebook 314 CB314-1H-C24N Intel Celeron N4020/8GB/64GB eMMC/14""",1,0,26,8,64,1,14.0,0,359.0,2,3,1,7,1
"Acer Predator Helios 300 PH315-53-79C2 Intel Core i7-10750H/16GB/1TB SSD/RTX 3080/15.6""",1,0,82,16,1000,0,15.6,0,1999.0,2,6,12,25,0
"Apple MacBook Pro Intel Core i5/8GB/128GB/13"" Gris Espacial",1,2,66,8,128,0,13.0,0,604.0,2,3,11,7,1
"Apple MacBook Pro Touch Bar Intel Core i7/16GB/512GB/15"" Plata",1,2,66,16,512,0,15.0,0,987.15,2,3,12,7,1
"Asus Chromebook Z1500CN-EJ0400 Intel Celeron N3350/8GB/64GB eMMC/15.6""",1,3,26,8,64,1,15.6,0,399.0,2,3,1,7,1
"Asus Zenbook 14 UX425EA-KI359 Intel Core i7-1165G7/16GB/512GB SSD/14""",1,3,120,16,512,0,14.0,0,849.0,2,3,12,7,1
"Dell Latitude 5520 Intel Core i5-1135G7/8 GB/256GB SSD/15.6""",1,5,60,8,256,0,15.6,0,1125.75,2,3,11,7,1
"Dell Latitude 7490 Intel Core i5-8350U/8GB/256GB SSD/14""",1,5,60,8,256,0,14.0,0,699.0,2,3,11,7,1
"Dynabook Toshiba Satellite Pro C50-G-10T Intel Core i7-10510U/16GB/512GB SSD/15.6""",1,7,90,16,512,0,15.6,0,799.0,2,3,12,7,1
"Gigabyte AORUS 17 XE4-73ES514SH Intel Core i7-12700H/16GB/1TB SSD/RTX 3070Ti/17.3""",1,8,18,16,1000,0,17.3,0,2399.0,2,6,12,24,0
"Gigabyte U4 UD-50ES823SD Intel Core i5-1155G7/16GB/512GB SSD/14""",1,8,105,16,512,0,14.0,0,799.0,2,3,11,7,1
"HP 15S-EQ2090NS AMD Ryzen 5 5500U/8GB/512GB SSD/15.6"" + Microsoft 365 Personal 12 Meses Descarga Digital",0,9,4,8,512,0,15.6,0,660.99,0,3,7,7,1
"HP 15S-FQ5013NS Intel Core i5-1235U/8GB/512GB SSD/15.6"" + Microsoft 365 Personal 12 Meses Descarga Digital",0,9,4,8,512,0,15.6,0,760.99,2,3,11,7,1
"HP EliteBook 640 G9 Intel Core i7-1255U/16GB/512GB SSD/14""",1,9,38,16,512,0,14.0,0,1255.73,2,3,12,7,1
"HP EliteBook 650 G9 Intel Core i7-1255U/16GB/512GB SSD/15.6""",1,9,38,16,512,0,15.6,0,1654.05,2,3,12,7,1
"HP EliteBook 840 G7 Intel Core i5-10210U/8GB/256GB SSD/14"" Táctil",1,9,38,8,256,0,14.0,1,1395.03,2,3,11,7,1
"HP ProBook 430 G6 Intel Core i5-8265U/8GB/256GB SSD/13.3""",1,9,85,8,256,0,13.3,0,490.0,2,3,11,7,1
"HP ProBook 440 G6 Intel Core i5-8265U/8GB/256GB SSD/14""",1,9,85,8,256,0,14.0,0,550.01,2,3,11,7,1
"Lenovo ThinkPad T14s Gen 2 Intel Core i5-1135G7/16GB/512GB SSD/14""",1,13,102,16,512,0,14.0,0,1901.48,2,3,11,7,1
"Lenovo ThinkPad T490 Intel Core i5-8265U/8GB/512GB SSD/14"" Táctil",1,13,102,8,512,0,14.0,1,877.63,2,3,11,7,1
"Lenovo ThinkPad T490 Intel Core i7-8565U/16GB/512GB SSD/14""",1,13,102,16,512,0,14.0,0,794.99,2,3,12,7,1
"Lenovo V15 IGL Intel Celeron N4020/8GB/256 GB SSD/15.6""+Microsoft 365 Personal 12 Meses Descarga Digital",0,13,108,8,256,0,15.6,0,411.0,2,3,1,7,1
"MSI Katana GF76 12UD-035ES Intel Core i7-12700H/16 GB/1TB SSD/RTX 3050Ti/17.3""",1,14,58,16,1000,0,17.3,0,1599.0,2,6,12,22,0
"MSI Prestige 14 A10RAS-081ES Intel Core i7-10510U/16GB/1TB SSD/MX330/14""",1,14,83,16,1000,0,14.0,0,1278.99,2,4,12,9,2
"MSI Prestige 15 A12UC-200XES Intel Core i7-1280P/16GB/512GB SSD/RTX 3050/15.6""",1,14,83,16,512,0,15.6,0,1399.0,2,6,12,22,0
"MSI Prestige 16 A12UD-219XES Intel Core i7-1280P/32GB/1TB SSD/RTX 3050Ti/16""",1,14,83,32,1000,0,16.0,0,1375.14,2,6,12,22,0
"MSI Raider GE67HX 12UHS-030ES Intel Core i7-12800HX/32GB/1TB SSD/RTX 3080Ti/15.6""",1,14,88,32,1000,0,15.6,0,3799.0,2,6,12,25,0
"Medion Erazer Deputy P10 MD62132 Intel Core i5-10300H/8GB/512GB SSD/GTX 1660Ti/15.6"" + Crucial SO-DIMM DDR4 8GB 3200MHz",0,15,33,8,512,0,15.6,0,1029.0,2,2,11,6,3
"Razer Blade 15 Advanced Model FullHD 360Hz Intel Core i7-12800H/16GB/1TB SSD/RTX 3070Ti/15.6""",1,21,22,16,1000,0,15.6,0,3299.99,2,6,12,24,0
"Samsung Galaxy Book3 Pro 360 Intel Evo Core i7-1360P/16GB/512GB SSD/16"" Táctil+ T7 SSD PCIe NVMe USB 3.2 500GB",0,23,53,16,512,0,16.0,1,2198.99,2,3,12,7,1
"ASUS  ROG Zephyrus M16 GU604VI-93D47PB1 Intel Core i9-13900H/32GB/1TB SSD/RTX 4070/16"" (PT)",0,3,87,32,1000,0,16.0,0,3456.44,2,6,13,28,0
ASUS ROG Strix SCAR 18 G834JY-93B49PB1 Intel Core i9-13980HX/64GB/2TB SSD/RTX 4090/16'' (PT),0,3,87,64,2000,0,16.0,0,5758.14,2,6,13,30,0
"ASUS ROG Strix Scar 17 G733PZ-R97B48PB1  AMD Ryzen 9 7945HX/32GB/1TB SSD/RTX 4080/17.3"" (PT)",0,3,87,32,1000,0,17.3,0,4753.32,0,6,3,29,0
ASUS ROG Zephyrus G14 GA402RJ AMD Ryzen 7-6800HS/16GB/1TB SSD/RX 6700S/14'' (PT),0,3,87,16,1000,0,14.0,0,1730.15,0,3,8,7,1
HP Laptop 15s-eq2074np AMD Ryzen 5-5500U/12GB/256GB SSD/15.6'' (PT),0,9,4,12,256,0,15.6,0,655.34,0,3,7,7,1
HP OMEN 16-b1002np Intel Core i7-12700H/16GB/1TB SSD/RTX 3060/16.1'' (PT),0,9,76,16,1000,0,16.1,0,1887.39,2,6,12,23,0
HP Victus 16-d1027np Intel Core i5-12500H/8GB/512GB SSD/RTX 3050Ti/16.1'' (PT),0,9,112,8,512,0,16.1,0,1438.68,2,6,11,22,0
"HP 250 G8 Intel Core i7-1165G7/16 GB/512GB SSD/15.6""",0,9,7,16,512,0,15.6,0,1078.0,2,3,12,7,1
"ASUS Chromebook CR1 CR1100CKA-GJ0132 Intel Celeron N4500/4GB/32GB/11.6""",0,3,26,4,32,0,11.6,0,304.82,2,3,1,7,1
"ASUS Chromebook CR1100FKA-BP0024 Intel Celeron N4500/4GB/32GB eMMC/11.6"" Táctil",0,3,26,4,32,1,11.6,1,398.4,2,3,1,7,1
"ASUS Chromebook CX1500CNA-EJ0101 Intel Celeron N3350/8GB/32GB eMMC/15.6""",0,3,26,8,32,1,15.6,0,466.0,2,3,1,7,1
"ASUS Chromebook Flip CX5 CB5400FMA Intel Core i5-1130G7/8GB/256GB SSD/14""",0,3,26,8,256,0,14.0,0,777.0,2,3,11,7,1
"ASUS Chromebook Flip CX5 CB5400FMA Intel Core i7-1160G7/8GB/256GB SSD/14""",0,3,26,8,256,0,14.0,0,918.0,2,3,12,7,1
"ASUS E510MA-EJ617W Intel Celeron N4020/8GB/256GB SSD/15.6""",0,3,35,8,256,0,15.6,0,364.16,2,3,1,7,1
"ASUS ExpertBook B1 B1500CEAE-BQ1856R Intel Core i5-1135G7/8GB/512GB SSD/15.6""",0,3,42,8,512,0,15.6,0,901.99,2,3,11,7,1
"ASUS ExpertBook B1 B1502CBA-EJ0433W Intel Core i3-1215U/8GB/256GB SSD/15.6""",0,3,42,8,256,0,15.6,0,545.0,2,3,10,7,1
"ASUS ExpertBook B5 B5402CBA-EB0316X Intel Core i5-1240P/16GB/512GB SSD/14""",0,3,42,16,512,0,14.0,0,1259.0,2,3,11,7,1
"ASUS ExpertBook B5 B5602CBA-MB0418X Intel Core i5-1240P/16GB/512GB SSD/16""",0,3,42,16,512,0,16.0,0,1238.0,2,3,11,7,1
"ASUS ExpertBook B6 Flip B6602FC2-MH0248X Intel Core i7-12850HX/16GB/512GB SSD/RTX A2000/16"" Táctil",0,3,42,16,512,0,16.0,1,2499.0,2,6,12,14,0
"ASUS ExpertBook B7 Flip B7402FBA-L90012X Intel Core i7-1260P/16GB/512GB SSD/14"" Táctil",0,3,42,16,512,0,14.0,1,2409.49,2,3,12,7,1
"ASUS ExpertBook B7 Flip B7402FBA-L90593X Intel Core i5-1240P/16GB/512GB SSD/14"" Táctil",0,3,42,16,512,0,14.0,1,1703.0,2,3,11,7,1
"ASUS ExpertBook B7 Flip B7402FEA-LA0136R Intel Core i7-1195G7/16GB/512GB SSD/14"" Táctil",0,3,42,16,512,0,14.0,1,1902.0,2,3,12,7,1
"ASUS ExpertBook P1512CEA-EJ0286X Intel Core i7-1165G7/16GB/512GB SSD/15.6""",0,3,42,16,512,0,15.6,0,937.54,2,3,12,7,1
"ASUS Expertbook B9400CBA-KC0029X Intel Core i7-1255U/16GB/1TB SSD/14""",0,3,42,16,1000,0,14.0,0,1759.0,2,3,12,7,1
"ASUS F1500EA-BQ3064 Intel Core i5-1135G7/8GB/512GB SSD/15.6""",0,3,113,8,512,0,15.6,0,544.58,2,3,11,7,1
"ASUS F1500EA-BQ3075 Intel Core i5-1135G7/16GB/512GB SSD/15.6""",0,3,113,16,512,0,15.6,0,729.78,2,3,11,7,1
"ASUS F1500EA-EJ3532 Intel Core i3-1115G4/8GB/256GB SSD/15.6""",0,3,113,8,256,0,15.6,0,460.63,2,3,10,7,1
"ASUS F415EA-EK1464 Intel Core i3-1115G4/8 GB/256GB SSD/14""",0,3,45,8,256,0,14.0,0,457.07,2,3,10,7,1
"ASUS F515EA-BQ1154W Intel Core i5-1135G7/8GB/512GB SSD/15.6""",0,3,46,8,512,0,15.6,0,613.91,2,3,11,7,1
"ASUS F515EA-BQ1859W Intel Core i3-1115G4/8GB/256GB SSD/15.6""",0,3,46,8,256,0,15.6,0,570.43,2,3,10,7,1
"ASUS F515EA-EJ2640W Intel Core i3-1115G4/8GB/256GB SSD/15.6""",0,3,46,8,256,0,15.6,0,424.96,2,3,10,7,1
"ASUS Laptop F515EA i7-1165G7 8GB/512GB SSD/15.6"" (PT)",0,3,46,8,512,0,15.6,0,942.08,2,3,12,7,1
ASUS M515DA AMD Ryzen 3 3250U/8GB/256GB SSD/15.6'' (PT),0,3,63,8,256,0,15.6,0,595.72,0,3,6,7,1
"ASUS P1511CEA-BR1794X Intel Core i3-1115G4/8GB/256GB SSD/15.6""",0,3,20,8,256,0,15.6,0,609.15,2,3,10,7,1
"ASUS P1511CEA-EJ1795X Intel Core i7-1165G7/8GB/512GB SSD/15.6""",0,3,78,8,512,0,15.6,0,840.24,2,3,12,7,1
"ASUS P1511CEA-EJ791R Intel Core i7-1165G7/8GB/512GB SSD/15.6""",0,3,78,8,512,0,15.6,0,853.63,2,3,12,7,1
"ASUS ROG Flow X13 GV301QC-K6120T AMD Ryzen 9 5980HS/32GB/1TB SSD/RTX 3050/13.4"" Táctil",0,3,87,32,1000,0,13.4,1,3943.37,0,6,9,22,0
"ASUS ROG Flow X13 GV301RC-LJ076W AMD Ryzen 7 6800HS/16GB/1TB SSD/RTX 3050/13.4"" Táctil",0,3,87,16,1000,0,13.4,1,2086.72,0,6,8,22,0
"ASUS ROG Flow X13 GV301RE-LJ057W AMD Ryzen 9 6900HS/32GB/1TB SSD/RTX 3050Ti/13.4"" Táctil",0,3,87,32,1000,0,13.4,1,3834.15,0,6,9,22,0
ASUS ROG Strix G15 G513IE AMD Ryzen 7 4800H/16GB/512GB SSD/RTX 3050/15.6'' (PT),0,3,87,16,512,0,15.6,0,1036.46,0,6,8,22,0
ASUS ROG Strix G15 G513IM AMD Ryzen 7 4800H/16GB/512GB SSD/RTX3060/15.6'' (PT),0,3,87,16,512,0,15.6,0,1411.19,0,6,8,23,0
"ASUS ROG Strix G15 G513RC-HN180 AMD Ryzen 7 6800H/16GB/512GB SSD/RTX 3050/15.6""",0,3,87,16,512,0,15.6,0,909.99,0,6,8,22,0
"ASUS ROG Strix G15 G513RW-HQ133 AMD Ryzen 9 6900HX/32GB/1TB SSD/RTX3070Ti/15.6""",0,3,87,32,1000,0,15.6,0,2535.45,0,6,9,24,0
ASUS ROG Strix G17 G713RM AMD Ryzen 7 6800H/16GB/1TB SSD/RTX3060/17.3'' (PT),0,3,87,16,1000,0,17.3,0,1455.4,0,6,8,23,0
